"","sample_code","sample_type","label"
"1","7kyti2m3","RNALater","Cebus sp. fecal samples"
"2","7kyti2m3","Formalin","Cebus sp. fecal samples"
"3","7kyti2m3","","Cebus sp. fecal samples"
"4","edjkvepc","RNALater","Cebus sp. fecal samples"
"5","edjkvepc","Formalin","Cebus sp. fecal samples"
"6","edjkvepc","","Cebus sp. fecal samples"
"7","4xxppbiy","RNALater","Cebus sp. fecal samples"
"8","4xxppbiy","Formalin","Cebus sp. fecal samples"
"9","4xxppbiy","","Cebus sp. fecal samples"
"10","zwg9qq0h","RNALater","Cebus sp. fecal samples"
"11","zwg9qq0h","Formalin","Cebus sp. fecal samples"
"12","zwg9qq0h","","Cebus sp. fecal samples"
"13","ep9iqtax","RNALater","Cebus sp. fecal samples"
"14","ep9iqtax","Formalin","Cebus sp. fecal samples"
"15","ep9iqtax","","Cebus sp. fecal samples"
"16","z0u1eowo","RNALater","Cebus sp. fecal samples"
"17","z0u1eowo","Formalin","Cebus sp. fecal samples"
"18","z0u1eowo","","Cebus sp. fecal samples"
"19","twbji7en","RNALater","Cebus sp. fecal samples"
"20","twbji7en","Formalin","Cebus sp. fecal samples"
"21","twbji7en","","Cebus sp. fecal samples"
"22","muw6wjc0","RNALater","Cebus sp. fecal samples"
"23","muw6wjc0","Formalin","Cebus sp. fecal samples"
"24","muw6wjc0","","Cebus sp. fecal samples"
"25","36yb8jvg","RNALater","Cebus sp. fecal samples"
"26","36yb8jvg","Formalin","Cebus sp. fecal samples"
"27","36yb8jvg","","Cebus sp. fecal samples"
"28","7slphkdx","RNALater","Cebus sp. fecal samples"
"29","7slphkdx","Formalin","Cebus sp. fecal samples"
"30","7slphkdx","","Cebus sp. fecal samples"
"31","a1c4z7bc","RNALater","Cebus sp. fecal samples"
"32","a1c4z7bc","Formalin","Cebus sp. fecal samples"
"33","a1c4z7bc","","Cebus sp. fecal samples"
"34","le4s4lca","RNALater","Cebus sp. fecal samples"
"35","le4s4lca","Formalin","Cebus sp. fecal samples"
"36","le4s4lca","","Cebus sp. fecal samples"
"37","igstb3s8","RNALater","Cebus sp. fecal samples"
"38","igstb3s8","Formalin","Cebus sp. fecal samples"
"39","igstb3s8","","Cebus sp. fecal samples"
"40","tmetgxs7","RNALater","Cebus sp. fecal samples"
"41","tmetgxs7","Formalin","Cebus sp. fecal samples"
"42","tmetgxs7","","Cebus sp. fecal samples"
"43","bik3az9j","RNALater","Cebus sp. fecal samples"
"44","bik3az9j","Formalin","Cebus sp. fecal samples"
"45","bik3az9j","","Cebus sp. fecal samples"
"46","zdcqfi2a","RNALater","Cebus sp. fecal samples"
"47","zdcqfi2a","Formalin","Cebus sp. fecal samples"
"48","zdcqfi2a","","Cebus sp. fecal samples"
"49","anu478hr","RNALater","Cebus sp. fecal samples"
"50","anu478hr","Formalin","Cebus sp. fecal samples"
"51","anu478hr","","Cebus sp. fecal samples"
"52","h6st3xvl","RNALater","Cebus sp. fecal samples"
"53","h6st3xvl","Formalin","Cebus sp. fecal samples"
"54","h6st3xvl","","Cebus sp. fecal samples"
"55","nh89r9a8","RNALater","Cebus sp. fecal samples"
"56","nh89r9a8","Formalin","Cebus sp. fecal samples"
"57","nh89r9a8","","Cebus sp. fecal samples"
"58","dzi2e332","RNALater","Cebus sp. fecal samples"
"59","dzi2e332","Formalin","Cebus sp. fecal samples"
"60","dzi2e332","","Cebus sp. fecal samples"
"61","ndloru3f","RNALater","Cebus sp. fecal samples"
"62","ndloru3f","Formalin","Cebus sp. fecal samples"
"63","ndloru3f","","Cebus sp. fecal samples"
"64","09ii1x86","RNALater","Cebus sp. fecal samples"
"65","09ii1x86","Formalin","Cebus sp. fecal samples"
"66","09ii1x86","","Cebus sp. fecal samples"
"67","aki0f0n8","RNALater","Cebus sp. fecal samples"
"68","aki0f0n8","Formalin","Cebus sp. fecal samples"
"69","aki0f0n8","","Cebus sp. fecal samples"
"70","7b1bjcyx","RNALater","Cebus sp. fecal samples"
"71","7b1bjcyx","Formalin","Cebus sp. fecal samples"
"72","7b1bjcyx","","Cebus sp. fecal samples"
"73","ttne9zyc","RNALater","Cebus sp. fecal samples"
"74","ttne9zyc","Formalin","Cebus sp. fecal samples"
"75","ttne9zyc","","Cebus sp. fecal samples"
"76","fvea3vtm","RNALater","Cebus sp. fecal samples"
"77","fvea3vtm","Formalin","Cebus sp. fecal samples"
"78","fvea3vtm","","Cebus sp. fecal samples"
"79","gvmtefsw","RNALater","Cebus sp. fecal samples"
"80","gvmtefsw","Formalin","Cebus sp. fecal samples"
"81","gvmtefsw","","Cebus sp. fecal samples"
"82","amxfeoi6","RNALater","Cebus sp. fecal samples"
"83","amxfeoi6","Formalin","Cebus sp. fecal samples"
"84","amxfeoi6","","Cebus sp. fecal samples"
"85","h520na06","RNALater","Cebus sp. fecal samples"
"86","h520na06","Formalin","Cebus sp. fecal samples"
"87","h520na06","","Cebus sp. fecal samples"
"88","pgjh7hnw","RNALater","Cebus sp. fecal samples"
"89","pgjh7hnw","Formalin","Cebus sp. fecal samples"
"90","pgjh7hnw","","Cebus sp. fecal samples"
